y/R,U/Ub
0,0
0.004178273,0.453164557
0.002785515,0.329113924
0.001392758,0.156962025
0.006963788,0.524050633
0.008356546,0.579746835
0.009749304,0.648101266
0.020891365,0.693670886
0.033426184,0.751898734
0.050139276,0.802531646
0.069637883,0.848101266
0.091922006,0.881012658
0.116991643,0.908860759
0.143454039,0.936708861
0.169916435,0.962025316
0.200557103,0.984810127
0.231197772,1.002531646
0.264623955,1.02278481
0.299442897,1.04556962
0.332869081,1.060759494
0.363509749,1.070886076
0.396935933,1.083544304
0.430362117,1.098734177
0.463788301,1.111392405
0.495821727,1.121518987
0.530640669,1.13164557
0.562674095,1.141772152
0.605849582,1.151898734
0.658774373,1.167088608
0.692200557,1.169620253
0.725626741,1.182278481
0.763231198,1.187341772
0.798050139,1.192405063
0.830083565,1.202531646
0.867688022,1.205063291
0.902506964,1.207594937
0.931754875,1.207594937
0.984679666,1.212658228
