y+,uz2/utau2
1.493073621,0.133689838
2.09451326,0.254010895
2.835379585,0.374331953
3.83830341,0.53475935
5.149900467,0.762031666
6.909689257,1.0695187
8.86697624,1.350267155
12.11077822,1.60427805
15.40355493,1.951871424
20.85205013,2.192513539
28.22778846,2.379679516
38.55434777,2.473261994
54.08482139,2.540106913
76.55011574,2.419785855
106.4337057,2.326203377
147.9832342,2.205882319
202.1198751,2.018716343
283.5378621,1.925133864
390.7293001,1.778075247
548.1229907,1.64438541
742.0037711,1.470588213
977.9770725,1.296791016
1189.693067,1.229946097
1568.042346,0.989305002
2122.685169,0.735294106
