(z+h)/h,v (y/h = -0.5)
0.95487809,0.007092436
0.889024326,0.005478992
0.839024442,0.003731091
0.784146399,0.001243698
0.732926836,-0.001310925
0.680487779,-0.003529412
0.620731668,-0.006016808
0.562195144,-0.00789916
0.499999953,-0.009109249
0.430487802,-0.009243698
0.368292704,-0.008168066
0.314634154,-0.006084039
0.270731738,-0.003529412
0.229268309,-0.000773108
0.190243959,0.002050419
0.157317077,0.005075629
0.130487849,0.008033613
0.098780553,0.011260504
0.062195191,0.014151258
0.017073188,0.012739495
0.010975627,0.010319328
0,0.001042016
