tau,Concentration
0.0,0.0007481367440946961
0.15976102825786007,0.00043630392465613934
0.31952205651572013,0.0007481367440946961
0.48427561690663834,0.0007481367440946961
0.6440366451644984,0.0016845726853774285
0.8037976734223584,0.041676082491880734
0.9685512338132767,0.39322880668064236
1.1283122620711368,0.8241739510649495
1.2880732903289969,0.9682576623118421
1.452826850719915,0.9916819655241719
1.612587878977775,0.9922943224712647
1.772348907235635,0.996906283894713
1.9371024676265534,0.997523799449238
2.0968634958844135,0.997523799449238
2.2566245241422735,0.9984512218137399
2.421378084533192,0.997523799449238
2.581139112791052,0.996906283894713
2.7458926731819697,0.997523799449238
2.90565370143983,0.996906283894713
3.06541472969769,0.9984512218137399
3.230168290088608,0.9462509329830615
3.3899293183464683,0.6151288492895461
3.5496903466043284,0.1812440042311626
3.7144439069952466,0.03406178960214493
3.8742049352531067,0.011698295049160215
4.033965963510966,0.007017792619109462
4.198719523901885,0.005067443427388137
4.358480552159745,0.0033737122183017452
4.518241580417605,0.0028727488598452606
4.682995140808523,0.001247394097341515
4.842756169066384,0.0007481367440946961
5.002517197324243,0.0007481367440946961
5.167270757715161,0.0007481367440946961
5.327031785973022,0.00043630392465613934
5.4917853463639394,-0.0009339094581556713
